shoulder_practical_trace   elbow_practical_trace
-29.745        -38.25
-29.808        -38.358
-29.88        -38.457
-29.943        -38.52
-29.997        -38.565
-30.042        -38.628
-30.087        -38.7
-30.15        -38.781
-30.204        -38.88
-30.267        -38.952
-30.312        -38.997
-30.366        -39.051
-30.42        -39.105
-30.474        -39.204
-30.537        -39.285
-30.591        -39.357
-30.654        -39.429
-30.699        -39.492
-30.744        -39.528
-30.789        -39.573
-30.843        -39.645
-30.897        -39.744
-30.96        -39.825
-31.023        -39.906
-31.077        -39.96
-31.122        -39.996
-31.158        -40.041
-31.203        -40.113
-31.248        -40.194
-31.302        -40.266
-31.347        -40.32
-31.392        -40.383
-31.446        -40.437
-31.491        -40.5
-31.545        -40.59
-31.599        -40.68
-31.653        -40.725
-31.698        -40.761
-31.734        -40.788
-31.779        -40.833
-31.824        -40.905
-31.878        -41.004
-31.932        -41.085
-31.986        -41.148
-32.022        -41.193
-32.058        -41.22
-32.094        -41.256
-32.139        -41.292
-32.175        -41.364
-32.22        -41.436
-32.283        -41.517
-32.337        -41.589
-32.382        -41.625
-32.409        -41.661
-32.445        -41.688
-32.472        -41.733
-32.517        -41.796
-32.553        -41.868
-32.607        -41.94
-32.652        -41.994
-32.688        -42.048
-32.724        -42.084
-32.76        -42.12
-32.796        -42.165
-32.832        -42.201
-32.868        -42.264
-32.904        -42.318
-32.949        -42.381
-32.994        -42.435
-33.03        -42.48
-33.066        -42.498
-33.102        -42.525
-33.147        -42.57
-33.183        -42.624
-33.21        -42.669
-33.246        -42.732
-33.282        -42.786
-33.318        -42.84
-33.345        -42.885
-33.381        -42.921
-33.408        -42.957
-33.435        -42.993
-33.462        -43.029
-33.498        -43.092
-33.534        -43.128
-33.57        -43.191
-33.606        -43.236
-33.633        -43.245
-33.66        -43.272
-33.687        -43.308
-33.714        -43.344
-33.741        -43.38
-33.777        -43.452
-33.813        -43.497
-33.84        -43.56
-33.885        -43.623
-33.912        -43.641
-33.921        -43.659
-33.939        -43.668
-33.957        -43.668
-33.984        -43.677
-34.011        -43.695
-34.038        -43.713
-34.065        -43.776
-34.11        -43.848
-34.146        -43.92
-34.173        -43.956
-34.191        -43.983
-34.209        -43.992
-34.227        -44.001
-34.236        -44.001
-34.254        -44.028
-34.272        -44.037
-34.299        -44.064
-34.326        -44.1
-34.353        -44.172
-34.389        -44.217
-34.407        -44.253
-34.434        -44.28
-34.443        -44.289
-34.461        -44.316
-34.47        -44.316
-34.488        -44.325
-34.497        -44.325
-34.515        -44.352
-34.533        -44.388
-34.56        -44.424
-34.587        -44.469
-34.605        -44.514
-34.623        -44.541
-34.641        -44.559
-34.659        -44.568
-34.668        -44.577
-34.677        -44.577
-34.686        -44.604
-34.704        -44.604
-34.713        -44.613
-34.731        -44.64
-34.74        -44.649
-34.758        -44.685
-34.776        -44.721
-34.785        -44.748
-34.803        -44.784
-34.821        -44.793
-34.83        -44.811
-34.839        -44.82
-34.848        -44.82
-34.857        -44.829
-34.866        -44.829
-34.875        -44.829
-34.884        -44.829
-34.893        -44.847
-34.893        -44.856
-34.902        -44.856
-34.911        -44.865
-34.92        -44.892
-34.92        -44.901
-34.938        -44.928
-34.947        -44.964
-34.956        -44.973
-34.965        -45
-34.965        -45.009
-34.974        -45.009
-34.983        -45.018
-34.983        -45.036
-34.992        -45.036
-34.992        -45.036
-35.001        -45.036
-35.001        -45.036
-35.01        -45.036
-35.01        -45.036
-35.01        -45.045
-35.01        -45.045
-35.019        -45.045
-35.019        -45.045
-35.019        -45.045
-35.019        -45.045
-35.019        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.028        -45.045
-35.019        -45.045
-34.992        -45.045
-34.974        -45.045
-34.956        -45.045
-34.929        -45.045
-34.911        -45.045
-34.893        -45.045
-34.875        -45.045
-34.857        -45.045
-34.83        -45.045
-34.803        -45.045
-34.776        -45.045
-34.749        -45.036
-34.722        -44.982
-34.695        -44.919
-34.677        -44.865
-34.65        -44.82
-34.632        -44.757
-34.614        -44.721
-34.605        -44.685
