interpolation_sholuder   interpolation_elbow
-26.1092        -33.569
-26.182        -33.6626
-26.2539        -33.755
-26.3255        -33.8471
-26.3976        -33.9397
-26.4698        -34.0326
-26.5421        -34.1255
-26.6143        -34.2183
-26.6862        -34.3108
-26.7577        -34.4027
-26.8286        -34.4939
-26.8987        -34.5841
-26.968        -34.6731
-27.037        -34.7618
-27.1063        -34.851
-27.1759        -34.9405
-27.2456        -35.03
-27.3151        -35.1194
-27.3844        -35.2085
-27.4532        -35.297
-27.5214        -35.3847
-27.5889        -35.4714
-27.6554        -35.557
-27.7217        -35.6422
-27.7884        -35.7279
-27.8552        -35.8139
-27.9222        -35.8999
-27.989        -35.9859
-28.0556        -36.0714
-28.1217        -36.1564
-28.1871        -36.2406
-28.2518        -36.3238
-28.3156        -36.4058
-28.3791        -36.4874
-28.443        -36.5695
-28.5071        -36.6519
-28.5712        -36.7344
-28.6353        -36.8168
-28.699        -36.8988
-28.7624        -36.9802
-28.825        -37.0608
-28.8869        -37.1403
-28.9478        -37.2186
-29.0084        -37.2966
-29.0695        -37.3751
-29.1308        -37.4538
-29.1921        -37.5327
-29.2533        -37.6114
-29.3142        -37.6897
-29.3747        -37.7674
-29.4345        -37.8443
-29.4935        -37.9202
-29.5515        -37.9948
-29.6092        -38.069
-29.6673        -38.1437
-29.7257        -38.2188
-29.7841        -38.2939
-29.8424        -38.3689
-29.9005        -38.4434
-29.958        -38.5174
-30.0149        -38.5906
-30.0709        -38.6626
-30.126        -38.7334
-30.1807        -38.8038
-30.2359        -38.8747
-30.2913        -38.946
-30.3468        -39.0173
-30.4021        -39.0885
-30.4572        -39.1592
-30.5118        -39.2294
-30.5657        -39.2987
-30.6187        -39.3669
-30.6707        -39.4338
-30.7225        -39.5003
-30.7746        -39.5674
-30.827        -39.6347
-30.8795        -39.7022
-30.9318        -39.7695
-30.9839        -39.8364
-31.0354        -39.9027
-31.0863        -39.9681
-31.1363        -40.0323
-31.1852        -40.0953
-31.2339        -40.1578
-31.283        -40.221
-31.3323        -40.2844
-31.3817        -40.3479
-31.431        -40.4113
-31.48        -40.4742
-31.5284        -40.5365
-31.5762        -40.598
-31.6231        -40.6583
-31.6689        -40.7172
-31.7145        -40.7758
-31.7605        -40.8349
-31.8067        -40.8943
-31.853        -40.9538
-31.8991        -41.0132
-31.945        -41.0721
-31.9903        -41.1304
-32.035        -41.1878
-32.0787        -41.2441
-32.1214        -41.299
-32.1638        -41.3534
-32.2066        -41.4085
-32.2497        -41.4639
-32.2928        -41.5193
-32.3358        -41.5746
-32.3785        -41.6295
-32.4207        -41.6837
-32.4621        -41.737
-32.5027        -41.7892
-32.5422        -41.8399
-32.5813        -41.8903
-32.6209        -41.9412
-32.6608        -41.9925
-32.7008        -42.0438
-32.7406        -42.095
-32.78        -42.1458
-32.819        -42.1959
-32.8573        -42.245
-32.8946        -42.2931
-32.9308        -42.3396
-32.9667        -42.3858
-33.0031        -42.4326
-33.0397        -42.4797
-33.0764        -42.5269
-33.113        -42.5739
-33.1492        -42.6205
-33.185        -42.6664
-33.22        -42.7114
-33.254        -42.7552
-33.287        -42.7975
-33.3196        -42.8395
-33.3527        -42.882
-33.3861        -42.9249
-33.4195        -42.9679
-33.4528        -43.0107
-33.4857        -43.0531
-33.5182        -43.0948
-33.5499        -43.1355
-33.5806        -43.1751
-33.6103        -43.2132
-33.6396        -43.2509
-33.6694        -43.2892
-33.6994        -43.3278
-33.7295        -43.3666
-33.7595        -43.4051
-33.7892        -43.4432
-33.8183        -43.4807
-33.8467        -43.5171
-33.8741        -43.5524
-33.9004        -43.5862
-33.9264        -43.6196
-33.9528        -43.6536
-33.9795        -43.688
-34.0063        -43.7224
-34.033        -43.7567
-34.0593        -43.7905
-34.085        -43.8236
-34.1101        -43.8558
-34.1341        -43.8868
-34.1571        -43.9163
-34.1797        -43.9453
-34.2028        -43.975
-34.2261        -44.005
-34.2495        -44.0351
-34.2728        -44.065
-34.2958        -44.0945
-34.3182        -44.1233
-34.3398        -44.1512
-34.3605        -44.1778
-34.3801        -44.2029
-34.3993        -44.2276
-34.419        -44.2529
-34.4389        -44.2786
-34.4589        -44.3044
-34.4788        -44.3299
-34.4984        -44.3551
-34.5174        -44.3795
-34.5357        -44.403
-34.553        -44.4252
-34.5691        -44.446
-34.5849        -44.4663
-34.6012        -44.4872
-34.6177        -44.5085
-34.6344        -44.5299
-34.6508        -44.5511
-34.667        -44.5718
-34.6826        -44.5919
-34.6974        -44.611
-34.7113        -44.6288
-34.724        -44.6452
-34.7364        -44.6611
-34.7492        -44.6776
-34.7624        -44.6945
-34.7756        -44.7115
-34.7886        -44.7283
-34.8014        -44.7446
-34.8135        -44.7602
-34.8249        -44.7749
-34.8354        -44.7884
-34.8447        -44.8003
-34.8536        -44.8118
-34.863        -44.8239
-34.8727        -44.8364
-34.8825        -44.8489
-34.8921        -44.8613
-34.9014        -44.8732
-34.9101        -44.8844
-34.9181        -44.8947
-34.9251        -44.9037
-34.9309        -44.9112
-34.9364        -44.9183
